238, 198, 239
234, 176, 233
230, 146, 226
226, 121, 220
222, 100, 214
218,  79, 208
215,  72, 204
211,  81, 198
207, 105, 193
202, 124, 191
197, 143, 191
188, 154, 194
176, 156, 201
158, 150, 211
138, 134, 223
114, 112, 233
 89,  86, 245
 70,  67, 253
 51,  60, 255
 37,  62, 252
 27,  68, 246
 24,  80, 240
 26,  96, 236
 33, 114, 235
 43, 136, 237
 55, 153, 242
 69, 175, 248
 83, 192, 252
 95, 206, 252
106, 222, 247
114, 232, 239
119, 239, 228
120, 241, 218
117, 240, 207
111, 236, 194
102, 227, 179
 91, 218, 162
 78, 208, 146
 64, 199, 131
 51, 193, 118
 38, 190, 106
 27, 191,  96
 18, 196,  87
 11, 204,  78
  5, 215,  67
  3, 223,  60
  4, 228,  53
  7, 231,  48
 13, 230,  44
 21, 226,  42
 32, 220,  42
 43, 214,  44
 55, 208,  48
 67, 203,  55
 79, 200,  62
 90, 198,  71
101, 198,  79
111, 200,  87
121, 204,  94
131, 210, 100
141, 217, 103
151, 224, 104
163, 232, 103
174, 237, 100
187, 241,  94
200, 241,  87
212, 238,  79
226, 230,  68
237, 220,  59
244, 209,  50
249, 201,  43
252, 193,  37
253, 186,  31
254, 181,  27
254, 173,  23
255, 167,  19
255, 161,  16
254, 154,  13
253, 147,  10
250, 141,   7
246, 135,   5
241, 129,   4
235, 122,   2
228, 114,   1
223, 106,   0
220,  97,   0
220,  88,   0
224,  77,   0
231,  68,   0
240,  57,   2
248,  43,   3
252,  30,   5
254,  18,   7
251,   7,  10
246,   1,  13
237,   0,  16
227,   0,  20
220,   1,  24
215,   4,  30
213,   8,  35
213,  13,  42
214,  21,  49
217,  31,  57
221,  44,  65
225,  59,  73
230,  76,  81
236,  96,  89
243, 117,  98
249, 139, 109
254, 161, 120
255, 182, 132
255, 197, 143
255, 199, 144
